Biển số,Thời gian
59,2025-05-13 16:43:07
59,2025-05-13 16:43:08
"59 . ""3",2025-05-13 16:43:09
"59. ""3",2025-05-13 16:43:09
"59. ""3",2025-05-13 16:43:10
59. '3,2025-05-13 16:43:10
59,2025-05-13 16:43:10
59,2025-05-13 16:43:11
59,2025-05-13 16:43:12
59,2025-05-13 16:43:12
59,2025-05-13 16:43:13
59,2025-05-13 16:43:13
59,2025-05-13 16:43:13
50.Y1,2025-05-13 16:43:14
6 '117,2025-05-13 16:43:14
59.Y3,2025-05-13 16:43:15
6117,2025-05-13 16:43:15
59.Y3,2025-05-13 16:43:15
59 Y3,2025-05-13 16:43:16
59.Y3,2025-05-13 16:43:16
59 Y3,2025-05-13 16:43:16
59 Y3,2025-05-13 16:43:17
50  Y1,2025-05-13 16:43:17
59.Y3,2025-05-13 16:43:18
50  Y1,2025-05-13 16:43:19
59.Y3,2025-05-13 16:43:20
59.Y3,2025-05-13 16:43:20
59.Y3,2025-05-13 16:43:21
59.Y3,2025-05-13 16:43:23
50. Y1,2025-05-13 16:43:23
59.Y3,2025-05-13 16:43:23
50. Y1,2025-05-13 16:43:23
59-Y3,2025-05-13 16:43:24
59.Y3,2025-05-13 16:43:24
50. Y1,2025-05-13 16:43:24
59.Y3,2025-05-13 16:43:25
59.Y3,2025-05-13 16:43:26
59-Y3,2025-05-13 16:43:26
50 Y1,2025-05-13 16:43:26
59.Y3,2025-05-13 16:43:27
59.Y3,2025-05-13 16:43:27
59.Y3,2025-05-13 16:43:28
59.Y3,2025-05-13 16:43:28
59-Y3,2025-05-13 16:43:29
59.Y3,2025-05-13 16:43:30
59.Y3,2025-05-13 16:43:31
59.Y3,2025-05-13 16:43:32
59.Y3,2025-05-13 16:43:33
T.Y1,2025-05-13 16:43:33
59.Y3,2025-05-13 16:43:34
59.Y3,2025-05-13 16:43:35
59.Y3,2025-05-13 16:43:35
59.Y3,2025-05-13 16:43:35
59.Y3,2025-05-13 16:43:36
59-Y3,2025-05-13 16:43:37
12-B1,2025-05-13 16:43:38
12-B1,2025-05-13 16:43:39
